"year","x","y","cbsd","vector","dataset","country","unqId","countryCode"
2004,30.83483,0.9605,0,2.666666667,"A","Uganda",NA,"UGA"
2004,30.892,0.9605,0,3.8,"A","Uganda",NA,"UGA"
2004,31.43033,0.9621667,0,0.333333333,"A","Uganda",NA,"UGA"
2004,33.0202,0.96265,0,2.285714286,"A","Uganda",NA,"UGA"
2004,31.31783,0.9668333,0,8.2,"A","Uganda",NA,"UGA"
2004,33.26838,0.9693667,0,6.133333333,"A","Uganda",NA,"UGA"
2004,33.73889,0.9755556,0,2.266666667,"A","Uganda",NA,"UGA"
2004,31.06817,0.9843333,0,13.53333333,"A","Uganda",NA,"UGA"
2004,31.7,0.9989167,0,2.866666667,"A","Uganda",NA,"UGA"
2004,32.47008,1.000317,0,21,"A","Uganda",NA,"UGA"
2004,33.13207,1.0014,0,21.46666667,"A","Uganda",NA,"UGA"
2004,30.88533,1.005833,0,1.4,"A","Uganda",NA,"UGA"
2004,33.835,1.015,0,1.2,"A","Uganda",NA,"UGA"
2004,33.25718,1.017267,0,7.733333333,"A","Uganda",NA,"UGA"
2004,33.865,1.024722,0,6.266666667,"A","Uganda",NA,"UGA"
2004,33.78472,1.031667,0,2.933333333,"A","Uganda",NA,"UGA"
2004,31.348,1.033167,0,3.333333333,"A","Uganda",NA,"UGA"
2004,30.9125,1.043,0,4.533333333,"A","Uganda",NA,"UGA"
2004,33.81333,1.046389,0,3.133333333,"A","Uganda",NA,"UGA"
2004,33.75722,1.051111,0,44.06666667,"A","Uganda",NA,"UGA"
2004,31.41217,1.058333,0,3.4,"A","Uganda",NA,"UGA"
2004,33.24143,1.06915,0,3.2,"A","Uganda",NA,"UGA"
2004,31.64952,1.069967,0,9.533333333,"A","Uganda",NA,"UGA"
2004,33.93167,1.081389,0,0.666666667,"A","Uganda",NA,"UGA"
2004,34.09389,1.084444,0,1.866666667,"A","Uganda",NA,"UGA"
2004,33.83722,1.093333,0,1.666666667,"A","Uganda",NA,"UGA"
2004,31.375,1.101667,0,0.333333333,"A","Uganda",NA,"UGA"
2004,33.2027,1.111417,0,73,"A","Uganda",NA,"UGA"
2004,33.74,1.119444,0,6.533333333,"A","Uganda",NA,"UGA"
2004,31.59958,1.121867,0,18,"A","Uganda",NA,"UGA"
2004,33.89222,1.127222,0,4.6,"A","Uganda",NA,"UGA"
2004,34.1075,1.143056,0,1.866666667,"A","Uganda",NA,"UGA"
2004,33.16048,1.155367,0,30.26666667,"A","Uganda",NA,"UGA"
2004,33.80361,1.16,0,4.066666667,"A","Uganda",NA,"UGA"
2004,33.74806,1.160556,0,7.666666667,"A","Uganda",NA,"UGA"
2004,31.57043,1.164867,0,1,"A","Uganda",NA,"UGA"
2004,34.15556,1.170556,0,0.266666667,"A","Uganda",NA,"UGA"
2004,33.7025,1.174167,0,117.0666667,"A","Uganda",NA,"UGA"
2004,34.05806,1.174722,0,8.333333333,"A","Uganda",NA,"UGA"
