otherVarKey,noDiseaseBool
SEEN ON 2961,
SEEN ON NEARBY TME 14,1
SEEN ON TME 14 AT LOW INCID,
ONLY ON TME 14 ASWELL,
SEEN ON BAM 266 AND 52-TME 14,
SEEN ON 2961 AND TME 204,
SEEN ON 2961 ASWELL,
SEEN ON T204; TME 14 AT 30%,
SEEN ON 2961 AND TME 14 ONLY B,
SEEN ONLY ON TME 14 AT 100% IN,
SEEN ON TME 14 AT ABOUT 30% IN,
SEEN ON AKENA AT HIGH INCID,
ONLY ON TME 14 (ONE PLANT),
SEEN ONLY ON TME 204,
SEEN ON T204; OMONGOLE; AKENA,
CBSD (1) BAO,
CBSD (2) BAO (3) TME 14 (2),
CBSD (1) ON EGABU & IKONG IKON,
TME 14 (2),
BAO (1) TME 14 (1),
NASE 12 (2) NASE 4 (2) 2961 (1,
BAO (1),
CBSD (2) BAO,
EGABU BAO (CBSD 1),
EGABU BAO (1) CBSD,
2961 (CBSB-1),
TME 200 (BSD 1),
CBSD (1) ON VAIRETIES 2961 & N,
TME 14(2) NASE 3(1) 2961(1) TE,
CBSD(1) TME 14,
00036(1) 2961,
SCORE (1),
FC (1),
CBSD (1),
CBSD (1) IN ALL ABOVE,
CBSD (1) IN ALL VARIETIES,
CBSD (1) TME 14,
CBSD (3) TME 14,
SCORE (1) TME 204 & SERERE,
TME 14 CBSD(1),
CBSD 3(TME 14),
CBSD (1) ON ALL ABOVE,
CBID (2) TME 14,
CMSD (1) AKENA,
CBSD 1 FOR ALL ABOVE,
AKENA NASE 3 CBSD (1),
UNKNOWN 1; SEV 3,
SEV,
TME 14; SEV 2,
TME 14 SL SEV = 2,
TME 204 SEV = 2,
TME 14 AND TONGOLA SEV = 3 FOR,
AKENA SEV = 3,
PRESENCE OF CBSD IN THE MIXED,
ONLY TME 14,
YES BOTH LOCAL AND TME 14,
2 TME 14,
2,
4 NJULE,
3,
TME 14; NJULE (R); NJULE (W),
NJULE 3,
UNKNOWN 1,
MAGANA; TME 14,
SEEN ON T204,
NJULE 1,
3 NJULE,
CBSD 1; TME 14 & LOCAL SERERE,
CBSD(1) NASE; TME 2,
TME 14; UFUMBA CHAI,
SEEN ON ALL AT HIGH INCID,
CBSD (1) B11,
CBSD (1) TME 204,
BAO; UNKNOWN LOCAL CBSD (1),
CBSD (1) IN ALL,
B11 (KAKOOTE) CBSD 91) MPILOFO,
2961; AKENA,
AKENA; TME 204,
NASE 3; TME 204,
CBSD - TME 14 (1),
CBSD (1) AKENA,
CBSD (2) 00036,
TME 14 (1) NASE 310,
TME 14 SEV 2 UNKN SEV 1,
UMOT SEV 1;2961 SEV 1,
OMOO SEV 1 ARIWARA SEV 1 MINGO,
